NHÓM NGÀNH ;;;;;;;;;
STT;Tên NCC;Hạng mục;Website;Người liên hệ;Group Zalo;Sản phẩm NCC;Thương hiệu phân phối;Sản phẩm chi tiết;Ghi chú
27;Netsmart;Hạ tầng CNTT;https://netsmart.vn/;Mr. Trung;Netsmart-EASYNET;Thiết bị mạng, Bộ chuyển đổi, Bộ định tuyến, tủ mạng, cáp;Cisco ;Thiết bị mạng Cisco, Planet, NetGate, server ;
28;ADTek;Hạ tầng CNTT;https://adtek.vn/;Mr. Quý;EASYNET - Adtek;Thiết bị mạng, Thiết bị hệ thống, Tủ rack;Mikcrotik, Aruba, HP;"Dây cáp mạng và phụ kiện - Panduit, Norden.
Thiết bị mạng Mikcrotik, Aruba, HP…
UPS Norden
Tủ rack ADRACK";
29;Thiên An Minh;Điện nhẹ ELV;https://tongdai.com.vn/;Ms. Chi;Thiên An Minh - Easynet;Thiết bị mạng, Tổng đài, Thiết bị âm thanh & hội nghị, Camera;Grandstream, Mikrotik, Synway, Vbet, Tansonic;Grandstream: Wifi, Switch, đầu ghi, tổng đài IP,..;
30;Vtech;Điện nhẹ ELV;https://vtechsolutions.vn/;;;Thiết bị mạng, Camera, Bộ lưu điện UPS, Hệ thống âm thanh;;Cam, thiết bị mạng;
31;Smartliving;Điện nhẹ ELV;https://smartliving.vn/;Mr. Chình;Smartliving - Easynet;Hệ thống nhà thông minh;Tuya, Dooya, Aqara, Xiaomi, Hunonic;Thiết bị smarthome;
32;Dobo;Cơ điện MEP;https://dobo.com.vn/;Ms. Thảo Phương;Dobo - Easynet;Thiết bị điện, Ổ đóng cắt, Tủ điện;Dobo;Thiết bị điện Dobo Korea;
33;Siêu nhanh;Thiết bị CNTT và thiết bị văn phòng;https://mayphotosieunhanh.com/;;Siêu nhanh máy in-Easynet;Máy in, Linh kiện máy in;FUJIFILM;Cung cấp/sửa chữa/cho thuê máy in máy scan.;
34;TechBox;Thiết bị gia dụng;https://techbox.vn/;;TechBox - Easynet;Tivi,Màn hình, giá treo, khung treo;LG;Khung treo, giá treo tivi;
35;TVT;Điện nhẹ ELV;https://tvtvietnam.vn/;;TVT Camera - Easynet;Camera & An ninh;TVT;Camera, Thiết bị mạng, đầu ghi, Swich,…;
36;Camera 286;Điện nhẹ ELV;https://camera286.com/;Ms. Huệ;Camera 286 - Easynet;Camera & An ninh;HIKVISION, IMOU, ZKTECO;Camera HIK, IMOU,. Thiết bị đầu ghi, swicth, wifi, Rujie ;
